date,title,slug,region,healthcare_focus,it_focus,angle,primary_keyword,secondary_keyword,target_url
2026-06-07,Startups in Schleiden: Leitfaden fuer digitale Verwaltungsprozesse,schleiden-digitale-verwaltungsprozesse-startups-foerdermittel-und-finanzierung,Schleiden,Startups,digitale Verwaltungsprozesse,Foerdermittel und Finanzierung,Technologie Eifel,Breitbandausbau Eifel,/blog/schleiden-digitale-verwaltungsprozesse-startups-foerdermittel-und-finanzierung/
2026-06-08,"Low-Code-Automatisierung in der Region Bitburg: Chancen, Risiken und naechste Schritte fuer Logistik und Mobilitaet",bitburg-low-code-automatisierung-logistik-und-mobilitaet-kosten-nutzen-betrachtung,Bitburg,Logistik und Mobilitaet,Low-Code-Automatisierung,Kosten-Nutzen-Betrachtung,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/bitburg-low-code-automatisierung-logistik-und-mobilitaet-kosten-nutzen-betrachtung/
2026-06-09,Cloud-Migration in Adenau: Umsetzungsfahrplan fuer Buergerinitiativen,adenau-cloud-migration-buergerinitiativen-umsetzungsfahrplan,Adenau,Buergerinitiativen,Cloud-Migration,Umsetzungsfahrplan,Innovation Eifel,IT-Standort Eifel,/blog/adenau-cloud-migration-buergerinitiativen-umsetzungsfahrplan/
2026-06-10,Handwerksbetriebe und Standortvernetzung in Nettersheim: 7 konkrete Handlungsfelder,nettersheim-standortvernetzung-handwerksbetriebe-praxischeck,Nettersheim,Handwerksbetriebe,Standortvernetzung,Praxischeck,Technologie Eifel,Smart Region Eifel,/blog/nettersheim-standortvernetzung-handwerksbetriebe-praxischeck/
2026-06-11,Geo- und Umweltdaten in Vulkaneifel: Was Vereine und Ehrenamt jetzt wissen muessen,vulkaneifel-geo-und-umweltdaten-vereine-und-ehrenamt-praxischeck,Vulkaneifel,Vereine und Ehrenamt,Geo- und Umweltdaten,Praxischeck,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/vulkaneifel-geo-und-umweltdaten-vereine-und-ehrenamt-praxischeck/
2026-06-12,Kommunen in Bad Muenstereifel: Leitfaden fuer KI-Anwendungen im Alltag,bad-muenstereifel-ki-anwendungen-im-alltag-kommunen-betriebsorganisation,Bad Muenstereifel,Kommunen,KI-Anwendungen im Alltag,Betriebsorganisation,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/bad-muenstereifel-ki-anwendungen-im-alltag-kommunen-betriebsorganisation/
2026-06-13,"Digitale Zwillinge in der Region Schleiden: Chancen, Risiken und naechste Schritte fuer Tourismusbetriebe",schleiden-digitale-zwillinge-tourismusbetriebe-datenstrategie,Schleiden,Tourismusbetriebe,digitale Zwillinge,Datenstrategie,Technologie Eifel,IT-Standort Eifel,/blog/schleiden-digitale-zwillinge-tourismusbetriebe-datenstrategie/
2026-06-14,Rechenzentrum-Modernisierung in Bitburg: Kooperationsmodelle fuer Gesundheitseinrichtungen,bitburg-rechenzentrum-modernisierung-gesundheitseinrichtungen-kooperationsmodelle,Bitburg,Gesundheitseinrichtungen,Rechenzentrum-Modernisierung,Kooperationsmodelle,Digitalisierung Eifel,Smart Region Eifel,/blog/bitburg-rechenzentrum-modernisierung-gesundheitseinrichtungen-kooperationsmodelle/
2026-06-15,Mittelstand und Smart-City-Technologien in Adenau: 7 konkrete Handlungsfelder,adenau-smart-city-technologien-mittelstand-nachhaltigkeit,Adenau,Mittelstand,Smart-City-Technologien,Nachhaltigkeit,Innovation Eifel,Breitbandausbau Eifel,/blog/adenau-smart-city-technologien-mittelstand-nachhaltigkeit/
2026-06-16,Nettersheim: IoT-Sensorik als Hebel fuer Energieprojekte,nettersheim-iot-sensorik-energieprojekte-resilienz-und-krisenvorsorge,Nettersheim,Energieprojekte,IoT-Sensorik,Resilienz und Krisenvorsorge,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/nettersheim-iot-sensorik-energieprojekte-resilienz-und-krisenvorsorge/
2026-06-17,Technologie-Update Vulkaneifel: Glasfaserausbau im Praxischeck fuer Industriebetriebe,vulkaneifel-glasfaserausbau-industriebetriebe-standortentwicklung,Vulkaneifel,Industriebetriebe,Glasfaserausbau,Standortentwicklung,Digitalisierung Eifel,IT-Standort Eifel,/blog/vulkaneifel-glasfaserausbau-industriebetriebe-standortentwicklung/
2026-06-18,Bad Muenstereifel im Fokus: Wie Startups mit Cyberabwehr gegen Phishing resilienter werden,bad-muenstereifel-cyberabwehr-gegen-phishing-startups-personal-und-fachkraefteblick,Bad Muenstereifel,Startups,Cyberabwehr gegen Phishing,Personal- und Fachkraefteblick,Innovation Eifel,Smart Region Eifel,/blog/bad-muenstereifel-cyberabwehr-gegen-phishing-startups-personal-und-fachkraefteblick/
2026-06-19,Schleiden: Einstieg von Logistik und Mobilitaet in Energie-Monitoring,schleiden-energie-monitoring-logistik-und-mobilitaet-sicherheits-und-datenschutzperspektive,Schleiden,Logistik und Mobilitaet,Energie-Monitoring,Sicherheits- und Datenschutzperspektive,Technologie Eifel,Breitbandausbau Eifel,/blog/schleiden-energie-monitoring-logistik-und-mobilitaet-sicherheits-und-datenschutzperspektive/
2026-06-20,Standortfaktor Daun: Warum 5G- und Campusnetze fuer Buergerinitiativen strategisch ist,daun-5g-und-campusnetze-buergerinitiativen-foerdermittel-und-finanzierung,Daun,Buergerinitiativen,5G- und Campusnetze,Foerdermittel und Finanzierung,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/daun-5g-und-campusnetze-buergerinitiativen-foerdermittel-und-finanzierung/
2026-06-21,Mayen: Datenschutz nach DSGVO als Hebel fuer Handwerksbetriebe,mayen-datenschutz-nach-dsgvo-handwerksbetriebe-kosten-nutzen-betrachtung,Mayen,Handwerksbetriebe,Datenschutz nach DSGVO,Kosten-Nutzen-Betrachtung,Innovation Eifel,IT-Standort Eifel,/blog/mayen-datenschutz-nach-dsgvo-handwerksbetriebe-kosten-nutzen-betrachtung/
2026-06-22,Technologie-Update Blankenheim: Telemedizinische Infrastruktur im Praxischeck fuer Vereine und Ehrenamt,blankenheim-telemedizinische-infrastruktur-vereine-und-ehrenamt-umsetzungsfahrplan,Blankenheim,Vereine und Ehrenamt,Telemedizinische Infrastruktur,Umsetzungsfahrplan,Technologie Eifel,Smart Region Eifel,/blog/blankenheim-telemedizinische-infrastruktur-vereine-und-ehrenamt-umsetzungsfahrplan/
2026-06-23,Eifelkreis Bitburg-Pruem im Fokus: Wie Kommunen mit IT-Sicherheit und Incident Response resilienter werden,eifelkreis-bitburg-pruem-it-sicherheit-und-incident-response-kommunen-praxischeck,Eifelkreis Bitburg-Pruem,Kommunen,IT-Sicherheit und Incident Response,Praxischeck,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/eifelkreis-bitburg-pruem-it-sicherheit-und-incident-response-kommunen-praxischeck/
2026-06-24,Mechernich: Einstieg von Tourismusbetriebe in digitale Verwaltungsprozesse,mechernich-digitale-verwaltungsprozesse-tourismusbetriebe-betriebsorganisation,Mechernich,Tourismusbetriebe,digitale Verwaltungsprozesse,Betriebsorganisation,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/mechernich-digitale-verwaltungsprozesse-tourismusbetriebe-betriebsorganisation/
2026-06-25,Low-Code-Automatisierung in Nideggen: Was Gesundheitseinrichtungen jetzt wissen muessen,nideggen-low-code-automatisierung-gesundheitseinrichtungen-datenstrategie,Nideggen,Gesundheitseinrichtungen,Low-Code-Automatisierung,Datenstrategie,Technologie Eifel,IT-Standort Eifel,/blog/nideggen-low-code-automatisierung-gesundheitseinrichtungen-datenstrategie/
2026-06-26,Mittelstand in Daun: Leitfaden fuer KI-Anwendungen im Alltag,daun-ki-anwendungen-im-alltag-mittelstand-kooperationsmodelle,Daun,Mittelstand,KI-Anwendungen im Alltag,Kooperationsmodelle,Digitalisierung Eifel,Smart Region Eifel,/blog/daun-ki-anwendungen-im-alltag-mittelstand-kooperationsmodelle/
2026-06-27,"Digitale Bildung in der Region Mayen: Chancen, Risiken und naechste Schritte fuer Energieprojekte",mayen-digitale-bildung-energieprojekte-nachhaltigkeit,Mayen,Energieprojekte,digitale Bildung,Nachhaltigkeit,Innovation Eifel,Breitbandausbau Eifel,/blog/mayen-digitale-bildung-energieprojekte-nachhaltigkeit/
2026-06-28,E-Government-Schnittstellen in Blankenheim: Resilienz und Krisenvorsorge fuer Industriebetriebe,blankenheim-e-government-schnittstellen-industriebetriebe-resilienz-und-krisenvorsorge,Blankenheim,Industriebetriebe,E-Government-Schnittstellen,Resilienz und Krisenvorsorge,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/blankenheim-e-government-schnittstellen-industriebetriebe-resilienz-und-krisenvorsorge/
2026-06-29,Startups und Open-Data-Initiativen in Eifelkreis Bitburg-Pruem: 7 konkrete Handlungsfelder,eifelkreis-bitburg-pruem-open-data-initiativen-startups-standortentwicklung,Eifelkreis Bitburg-Pruem,Startups,Open-Data-Initiativen,Standortentwicklung,Digitalisierung Eifel,IT-Standort Eifel,/blog/eifelkreis-bitburg-pruem-open-data-initiativen-startups-standortentwicklung/
2026-06-30,Digitale Zwillinge in Mechernich: Was Logistik und Mobilitaet jetzt wissen muessen,mechernich-digitale-zwillinge-logistik-und-mobilitaet-standortentwicklung,Mechernich,Logistik und Mobilitaet,digitale Zwillinge,Standortentwicklung,Innovation Eifel,Smart Region Eifel,/blog/mechernich-digitale-zwillinge-logistik-und-mobilitaet-standortentwicklung/
2026-07-01,Buergerinitiativen in Nideggen: Leitfaden fuer Rechenzentrum-Modernisierung,nideggen-rechenzentrum-modernisierung-buergerinitiativen-personal-und-fachkraefteblick,Nideggen,Buergerinitiativen,Rechenzentrum-Modernisierung,Personal- und Fachkraefteblick,Technologie Eifel,Breitbandausbau Eifel,/blog/nideggen-rechenzentrum-modernisierung-buergerinitiativen-personal-und-fachkraefteblick/
2026-07-02,"Smart-City-Technologien in der Region Daun: Chancen, Risiken und naechste Schritte fuer Handwerksbetriebe",daun-smart-city-technologien-handwerksbetriebe-sicherheits-und-datenschutzperspektive,Daun,Handwerksbetriebe,Smart-City-Technologien,Sicherheits- und Datenschutzperspektive,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/daun-smart-city-technologien-handwerksbetriebe-sicherheits-und-datenschutzperspektive/
2026-07-03,IoT-Sensorik in Mayen: Foerdermittel und Finanzierung fuer Vereine und Ehrenamt,mayen-iot-sensorik-vereine-und-ehrenamt-foerdermittel-und-finanzierung,Mayen,Vereine und Ehrenamt,IoT-Sensorik,Foerdermittel und Finanzierung,Innovation Eifel,IT-Standort Eifel,/blog/mayen-iot-sensorik-vereine-und-ehrenamt-foerdermittel-und-finanzierung/
2026-07-04,Standortfaktor Blankenheim: Warum Glasfaserausbau fuer Kommunen strategisch ist,blankenheim-glasfaserausbau-kommunen-kosten-nutzen-betrachtung,Blankenheim,Kommunen,Glasfaserausbau,Kosten-Nutzen-Betrachtung,Technologie Eifel,Smart Region Eifel,/blog/blankenheim-glasfaserausbau-kommunen-kosten-nutzen-betrachtung/
2026-07-05,Eifelkreis Bitburg-Pruem: Cyberabwehr gegen Phishing als Hebel fuer Tourismusbetriebe,eifelkreis-bitburg-pruem-cyberabwehr-gegen-phishing-tourismusbetriebe-umsetzungsfahrplan,Eifelkreis Bitburg-Pruem,Tourismusbetriebe,Cyberabwehr gegen Phishing,Umsetzungsfahrplan,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/eifelkreis-bitburg-pruem-cyberabwehr-gegen-phishing-tourismusbetriebe-umsetzungsfahrplan/
2026-07-06,Technologie-Update Mechernich: Energie-Monitoring im Praxischeck fuer Gesundheitseinrichtungen,mechernich-energie-monitoring-gesundheitseinrichtungen-praxischeck,Mechernich,Gesundheitseinrichtungen,Energie-Monitoring,Praxischeck,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/mechernich-energie-monitoring-gesundheitseinrichtungen-praxischeck/
2026-07-07,Pruem im Fokus: Wie Mittelstand mit 5G- und Campusnetze resilienter werden,pruem-5g-und-campusnetze-mittelstand-betriebsorganisation,Pruem,Mittelstand,5G- und Campusnetze,Betriebsorganisation,Technologie Eifel,IT-Standort Eifel,/blog/pruem-5g-und-campusnetze-mittelstand-betriebsorganisation/
2026-07-08,Gerolstein: Einstieg von Energieprojekte in Datenschutz nach DSGVO,gerolstein-datenschutz-nach-dsgvo-energieprojekte-datenstrategie,Gerolstein,Energieprojekte,Datenschutz nach DSGVO,Datenstrategie,Digitalisierung Eifel,Smart Region Eifel,/blog/gerolstein-datenschutz-nach-dsgvo-energieprojekte-datenstrategie/
2026-07-09,Standortfaktor Kall: Warum Low-Code-Automatisierung fuer Industriebetriebe strategisch ist,kall-low-code-automatisierung-industriebetriebe-kooperationsmodelle,Kall,Industriebetriebe,Low-Code-Automatisierung,Kooperationsmodelle,Innovation Eifel,Breitbandausbau Eifel,/blog/kall-low-code-automatisierung-industriebetriebe-kooperationsmodelle/
2026-07-10,Heimbach: Cloud-Migration als Hebel fuer Startups,heimbach-cloud-migration-startups-nachhaltigkeit,Heimbach,Startups,Cloud-Migration,Nachhaltigkeit,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/heimbach-cloud-migration-startups-nachhaltigkeit/
2026-07-11,Technologie-Update Euskirchen: Standortvernetzung im Praxischeck fuer Logistik und Mobilitaet,euskirchen-standortvernetzung-logistik-und-mobilitaet-resilienz-und-krisenvorsorge,Euskirchen,Logistik und Mobilitaet,Standortvernetzung,Resilienz und Krisenvorsorge,Digitalisierung Eifel,IT-Standort Eifel,/blog/euskirchen-standortvernetzung-logistik-und-mobilitaet-resilienz-und-krisenvorsorge/
2026-07-12,Monschau im Fokus: Wie Buergerinitiativen mit Geo- und Umweltdaten resilienter werden,monschau-geo-und-umweltdaten-buergerinitiativen-standortentwicklung,Monschau,Buergerinitiativen,Geo- und Umweltdaten,Standortentwicklung,Innovation Eifel,Smart Region Eifel,/blog/monschau-geo-und-umweltdaten-buergerinitiativen-standortentwicklung/
2026-07-13,Handwerksbetriebe und KI-Anwendungen im Alltag in Pruem: 7 konkrete Handlungsfelder,pruem-ki-anwendungen-im-alltag-handwerksbetriebe-personal-und-fachkraefteblick,Pruem,Handwerksbetriebe,KI-Anwendungen im Alltag,Personal- und Fachkraefteblick,Technologie Eifel,Breitbandausbau Eifel,/blog/pruem-ki-anwendungen-im-alltag-handwerksbetriebe-personal-und-fachkraefteblick/
2026-07-14,Digitale Bildung in Gerolstein: Was Vereine und Ehrenamt jetzt wissen muessen,gerolstein-digitale-bildung-vereine-und-ehrenamt-sicherheits-und-datenschutzperspektive,Gerolstein,Vereine und Ehrenamt,digitale Bildung,Sicherheits- und Datenschutzperspektive,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/gerolstein-digitale-bildung-vereine-und-ehrenamt-sicherheits-und-datenschutzperspektive/
2026-07-15,Kommunen in Kall: Leitfaden fuer E-Government-Schnittstellen,kall-e-government-schnittstellen-kommunen-foerdermittel-und-finanzierung,Kall,Kommunen,E-Government-Schnittstellen,Foerdermittel und Finanzierung,Innovation Eifel,IT-Standort Eifel,/blog/kall-e-government-schnittstellen-kommunen-foerdermittel-und-finanzierung/
2026-07-16,"Open-Data-Initiativen in der Region Heimbach: Chancen, Risiken und naechste Schritte fuer Tourismusbetriebe",heimbach-open-data-initiativen-tourismusbetriebe-kosten-nutzen-betrachtung,Heimbach,Tourismusbetriebe,Open-Data-Initiativen,Kosten-Nutzen-Betrachtung,Technologie Eifel,Smart Region Eifel,/blog/heimbach-open-data-initiativen-tourismusbetriebe-kosten-nutzen-betrachtung/
2026-07-17,Digitale Zwillinge in Euskirchen: Umsetzungsfahrplan fuer Gesundheitseinrichtungen,euskirchen-digitale-zwillinge-gesundheitseinrichtungen-umsetzungsfahrplan,Euskirchen,Gesundheitseinrichtungen,digitale Zwillinge,Umsetzungsfahrplan,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/euskirchen-digitale-zwillinge-gesundheitseinrichtungen-umsetzungsfahrplan/
2026-07-18,Mittelstand und Rechenzentrum-Modernisierung in Monschau: 7 konkrete Handlungsfelder,monschau-rechenzentrum-modernisierung-mittelstand-praxischeck,Monschau,Mittelstand,Rechenzentrum-Modernisierung,Praxischeck,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/monschau-rechenzentrum-modernisierung-mittelstand-praxischeck/
2026-07-19,Smart-City-Technologien in Pruem: Was Energieprojekte jetzt wissen muessen,pruem-smart-city-technologien-energieprojekte-praxischeck,Pruem,Energieprojekte,Smart-City-Technologien,Praxischeck,Technologie Eifel,IT-Standort Eifel,/blog/pruem-smart-city-technologien-energieprojekte-praxischeck/
2026-07-20,Industriebetriebe in Gerolstein: Leitfaden fuer IoT-Sensorik,gerolstein-iot-sensorik-industriebetriebe-betriebsorganisation,Gerolstein,Industriebetriebe,IoT-Sensorik,Betriebsorganisation,Digitalisierung Eifel,Smart Region Eifel,/blog/gerolstein-iot-sensorik-industriebetriebe-betriebsorganisation/
2026-07-21,"Glasfaserausbau in der Region Kall: Chancen, Risiken und naechste Schritte fuer Startups",kall-glasfaserausbau-startups-datenstrategie,Kall,Startups,Glasfaserausbau,Datenstrategie,Innovation Eifel,Breitbandausbau Eifel,/blog/kall-glasfaserausbau-startups-datenstrategie/
2026-07-22,Heimbach: Einstieg von Logistik und Mobilitaet in Datenschutz nach DSGVO,heimbach-datenschutz-nach-dsgvo-logistik-und-mobilitaet-kooperationsmodelle,Heimbach,Logistik und Mobilitaet,Datenschutz nach DSGVO,Kooperationsmodelle,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/heimbach-datenschutz-nach-dsgvo-logistik-und-mobilitaet-kooperationsmodelle/
2026-07-23,Standortfaktor Euskirchen: Warum Telemedizinische Infrastruktur fuer Buergerinitiativen strategisch ist,euskirchen-telemedizinische-infrastruktur-buergerinitiativen-nachhaltigkeit,Euskirchen,Buergerinitiativen,Telemedizinische Infrastruktur,Nachhaltigkeit,Digitalisierung Eifel,IT-Standort Eifel,/blog/euskirchen-telemedizinische-infrastruktur-buergerinitiativen-nachhaltigkeit/
2026-07-24,Schleiden: IT-Sicherheit und Incident Response als Hebel fuer Handwerksbetriebe,schleiden-it-sicherheit-und-incident-response-handwerksbetriebe-resilienz-und-krisenvorsorge,Schleiden,Handwerksbetriebe,IT-Sicherheit und Incident Response,Resilienz und Krisenvorsorge,Innovation Eifel,Smart Region Eifel,/blog/schleiden-it-sicherheit-und-incident-response-handwerksbetriebe-resilienz-und-krisenvorsorge/
2026-07-25,Technologie-Update Bitburg: digitale Verwaltungsprozesse im Praxischeck fuer Vereine und Ehrenamt,bitburg-digitale-verwaltungsprozesse-vereine-und-ehrenamt-standortentwicklung,Bitburg,Vereine und Ehrenamt,digitale Verwaltungsprozesse,Standortentwicklung,Technologie Eifel,Breitbandausbau Eifel,/blog/bitburg-digitale-verwaltungsprozesse-vereine-und-ehrenamt-standortentwicklung/
2026-07-26,Adenau im Fokus: Wie Kommunen mit Low-Code-Automatisierung resilienter werden,adenau-low-code-automatisierung-kommunen-personal-und-fachkraefteblick,Adenau,Kommunen,Low-Code-Automatisierung,Personal- und Fachkraefteblick,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/adenau-low-code-automatisierung-kommunen-personal-und-fachkraefteblick/
2026-07-27,Nettersheim: Einstieg von Tourismusbetriebe in Cloud-Migration,nettersheim-cloud-migration-tourismusbetriebe-sicherheits-und-datenschutzperspektive,Nettersheim,Tourismusbetriebe,Cloud-Migration,Sicherheits- und Datenschutzperspektive,Innovation Eifel,IT-Standort Eifel,/blog/nettersheim-cloud-migration-tourismusbetriebe-sicherheits-und-datenschutzperspektive/
2026-07-28,Standortfaktor Vulkaneifel: Warum Standortvernetzung fuer Gesundheitseinrichtungen strategisch ist,vulkaneifel-standortvernetzung-gesundheitseinrichtungen-foerdermittel-und-finanzierung,Vulkaneifel,Gesundheitseinrichtungen,Standortvernetzung,Foerdermittel und Finanzierung,Technologie Eifel,Smart Region Eifel,/blog/vulkaneifel-standortvernetzung-gesundheitseinrichtungen-foerdermittel-und-finanzierung/
2026-07-29,Bad Muenstereifel: Geo- und Umweltdaten als Hebel fuer Mittelstand,bad-muenstereifel-geo-und-umweltdaten-mittelstand-kosten-nutzen-betrachtung,Bad Muenstereifel,Mittelstand,Geo- und Umweltdaten,Kosten-Nutzen-Betrachtung,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/bad-muenstereifel-geo-und-umweltdaten-mittelstand-kosten-nutzen-betrachtung/
2026-07-30,Technologie-Update Schleiden: KI-Anwendungen im Alltag im Praxischeck fuer Energieprojekte,schleiden-ki-anwendungen-im-alltag-energieprojekte-umsetzungsfahrplan,Schleiden,Energieprojekte,KI-Anwendungen im Alltag,Umsetzungsfahrplan,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/schleiden-ki-anwendungen-im-alltag-energieprojekte-umsetzungsfahrplan/
2026-07-31,Digitale Bildung in Bitburg: Praxischeck fuer Industriebetriebe,bitburg-digitale-bildung-industriebetriebe-praxischeck,Bitburg,Industriebetriebe,digitale Bildung,Praxischeck,Technologie Eifel,IT-Standort Eifel,/blog/bitburg-digitale-bildung-industriebetriebe-praxischeck/
2026-08-01,Startups und E-Government-Schnittstellen in Adenau: 7 konkrete Handlungsfelder,adenau-e-government-schnittstellen-startups-betriebsorganisation,Adenau,Startups,E-Government-Schnittstellen,Betriebsorganisation,Digitalisierung Eifel,Smart Region Eifel,/blog/adenau-e-government-schnittstellen-startups-betriebsorganisation/
2026-08-02,Open-Data-Initiativen in Nettersheim: Was Logistik und Mobilitaet jetzt wissen muessen,nettersheim-open-data-initiativen-logistik-und-mobilitaet-datenstrategie,Nettersheim,Logistik und Mobilitaet,Open-Data-Initiativen,Datenstrategie,Innovation Eifel,Breitbandausbau Eifel,/blog/nettersheim-open-data-initiativen-logistik-und-mobilitaet-datenstrategie/
2026-08-03,Buergerinitiativen in Vulkaneifel: Leitfaden fuer digitale Zwillinge,vulkaneifel-digitale-zwillinge-buergerinitiativen-kooperationsmodelle,Vulkaneifel,Buergerinitiativen,digitale Zwillinge,Kooperationsmodelle,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/vulkaneifel-digitale-zwillinge-buergerinitiativen-kooperationsmodelle/
2026-08-04,"Glasfaserausbau in der Region Bad Muenstereifel: Chancen, Risiken und naechste Schritte fuer Handwerksbetriebe",bad-muenstereifel-glasfaserausbau-handwerksbetriebe-nachhaltigkeit,Bad Muenstereifel,Handwerksbetriebe,Glasfaserausbau,Nachhaltigkeit,Digitalisierung Eifel,IT-Standort Eifel,/blog/bad-muenstereifel-glasfaserausbau-handwerksbetriebe-nachhaltigkeit/
2026-08-05,Cyberabwehr gegen Phishing in Schleiden: Resilienz und Krisenvorsorge fuer Vereine und Ehrenamt,schleiden-cyberabwehr-gegen-phishing-vereine-und-ehrenamt-resilienz-und-krisenvorsorge,Schleiden,Vereine und Ehrenamt,Cyberabwehr gegen Phishing,Resilienz und Krisenvorsorge,Innovation Eifel,Smart Region Eifel,/blog/schleiden-cyberabwehr-gegen-phishing-vereine-und-ehrenamt-resilienz-und-krisenvorsorge/
2026-08-06,Kommunen und Energie-Monitoring in Bitburg: 7 konkrete Handlungsfelder,bitburg-energie-monitoring-kommunen-standortentwicklung,Bitburg,Kommunen,Energie-Monitoring,Standortentwicklung,Technologie Eifel,Breitbandausbau Eifel,/blog/bitburg-energie-monitoring-kommunen-standortentwicklung/
2026-08-07,5G- und Campusnetze in Adenau: Was Tourismusbetriebe jetzt wissen muessen,adenau-5g-und-campusnetze-tourismusbetriebe-standortentwicklung,Adenau,Tourismusbetriebe,5G- und Campusnetze,Standortentwicklung,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/adenau-5g-und-campusnetze-tourismusbetriebe-standortentwicklung/
2026-08-08,Gesundheitseinrichtungen in Nettersheim: Leitfaden fuer Datenschutz nach DSGVO,nettersheim-datenschutz-nach-dsgvo-gesundheitseinrichtungen-personal-und-fachkraefteblick,Nettersheim,Gesundheitseinrichtungen,Datenschutz nach DSGVO,Personal- und Fachkraefteblick,Innovation Eifel,IT-Standort Eifel,/blog/nettersheim-datenschutz-nach-dsgvo-gesundheitseinrichtungen-personal-und-fachkraefteblick/
2026-08-09,Vulkaneifel im Fokus: Wie Mittelstand mit Telemedizinische Infrastruktur resilienter werden,vulkaneifel-telemedizinische-infrastruktur-mittelstand-sicherheits-und-datenschutzperspektive,Vulkaneifel,Mittelstand,Telemedizinische Infrastruktur,Sicherheits- und Datenschutzperspektive,Technologie Eifel,Smart Region Eifel,/blog/vulkaneifel-telemedizinische-infrastruktur-mittelstand-sicherheits-und-datenschutzperspektive/
2026-08-10,Mechernich: Einstieg von Energieprojekte in IT-Sicherheit und Incident Response,mechernich-it-sicherheit-und-incident-response-energieprojekte-foerdermittel-und-finanzierung,Mechernich,Energieprojekte,IT-Sicherheit und Incident Response,Foerdermittel und Finanzierung,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/mechernich-it-sicherheit-und-incident-response-energieprojekte-foerdermittel-und-finanzierung/
2026-08-11,Standortfaktor Nideggen: Warum digitale Verwaltungsprozesse fuer Industriebetriebe strategisch ist,nideggen-digitale-verwaltungsprozesse-industriebetriebe-kosten-nutzen-betrachtung,Nideggen,Industriebetriebe,digitale Verwaltungsprozesse,Kosten-Nutzen-Betrachtung,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/nideggen-digitale-verwaltungsprozesse-industriebetriebe-kosten-nutzen-betrachtung/
2026-08-12,Daun: Low-Code-Automatisierung als Hebel fuer Startups,daun-low-code-automatisierung-startups-umsetzungsfahrplan,Daun,Startups,Low-Code-Automatisierung,Umsetzungsfahrplan,Technologie Eifel,IT-Standort Eifel,/blog/daun-low-code-automatisierung-startups-umsetzungsfahrplan/
2026-08-13,Technologie-Update Mayen: Cloud-Migration im Praxischeck fuer Logistik und Mobilitaet,mayen-cloud-migration-logistik-und-mobilitaet-praxischeck,Mayen,Logistik und Mobilitaet,Cloud-Migration,Praxischeck,Digitalisierung Eifel,Smart Region Eifel,/blog/mayen-cloud-migration-logistik-und-mobilitaet-praxischeck/
2026-08-14,Blankenheim im Fokus: Wie Buergerinitiativen mit Standortvernetzung resilienter werden,blankenheim-standortvernetzung-buergerinitiativen-betriebsorganisation,Blankenheim,Buergerinitiativen,Standortvernetzung,Betriebsorganisation,Innovation Eifel,Breitbandausbau Eifel,/blog/blankenheim-standortvernetzung-buergerinitiativen-betriebsorganisation/
2026-08-15,Eifelkreis Bitburg-Pruem: Einstieg von Handwerksbetriebe in Geo- und Umweltdaten,eifelkreis-bitburg-pruem-geo-und-umweltdaten-handwerksbetriebe-datenstrategie,Eifelkreis Bitburg-Pruem,Handwerksbetriebe,Geo- und Umweltdaten,Datenstrategie,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/eifelkreis-bitburg-pruem-geo-und-umweltdaten-handwerksbetriebe-datenstrategie/
2026-08-16,Standortfaktor Mechernich: Warum KI-Anwendungen im Alltag fuer Vereine und Ehrenamt strategisch ist,mechernich-ki-anwendungen-im-alltag-vereine-und-ehrenamt-kooperationsmodelle,Mechernich,Vereine und Ehrenamt,KI-Anwendungen im Alltag,Kooperationsmodelle,Digitalisierung Eifel,IT-Standort Eifel,/blog/mechernich-ki-anwendungen-im-alltag-vereine-und-ehrenamt-kooperationsmodelle/
2026-08-17,Nideggen: digitale Zwillinge als Hebel fuer Kommunen,nideggen-digitale-zwillinge-kommunen-nachhaltigkeit,Nideggen,Kommunen,digitale Zwillinge,Nachhaltigkeit,Innovation Eifel,Smart Region Eifel,/blog/nideggen-digitale-zwillinge-kommunen-nachhaltigkeit/
